"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"Nokia","Nokia","A00018948","Windows Phone 8","8 GB"," ","5 MP","3.9","32","89.00","Pictures/81dDHOCYQHL._AC_SL1500_.jpg"
"HUAWEI","Huawei Spain","6901443077403","Android 6.0","32 GB"," ","12 MP","3.8","799","214.51","Pictures/71dyPSnVkmL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-A202FZWDDBT","Android","3 GB"," ","13 MP","4.5","824","153.47","Pictures/51UCIKMzo1L._AC_SL1000_.jpg"
"Emporia","Emporia","V221_001_CP"," ","4 GB"," "," ","4.1","49","50.52","Pictures/71p8Qwd-JeL._AC_SL1500_.jpg"
"Meizu","Meizu","M95-M685H-GOLD","Android","32 GB"," ","12 MP","3.4","40","160.61",""
"Sony","Sony","1288-1889","Android 4.4.4","16 GB"," ","20.7 MP","3.6","103","167.57","Pictures/71adLbZOFTL._AC_SL1500_.jpg"
"JJA BROS","JJA BROS"," "," ","8 GB"," "," ","3.7","18","27.27",""
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.250"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Google","Google","GA00764-DE","Android 9.0","4 GB"," ","12.2 MP","4.2","55","478.33","Pictures/61IoO7BsHpL._AC_SL1248_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"TTfone","TTfone","Lunar TT750","Native"," ","MicroSD, Tarjeta SIM","0.3 MP","3.9","475","54.76","Pictures/71wvo7SvSbL._AC_SL1500_.jpg"
"Microsoft Mobile","Nokia","002M961","IOS 10","20 MB"," ","5 MP","3.3","20","340.00","Pictures/71fMEi9yKdL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","MDESS","Android","6 GB"," ","12 MP","4.0","62","340.00",""
"Telefunken","Telefunken Spain","TTM00250BE","Syst\xc3\xa8me Propri\xc3\xa9taire","32 GB"," ","3 MP","3.3","14"," ","Pictures/61DkPRiLNXL._AC_SL1000_.jpg"
"Brondi","Brondi","10273962","Android"," "," ","1.3 MP","4.1","63","32.05","Pictures/81kFg2kuBKL._AC_SL1500_.jpg"
"TEENO","Teeno"," ","Android","32 GB"," ","8 MP","3.4","33"," ","Pictures/51TV0L1Xy1L._AC_SL1000_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Oumij","Oumij"," "," ","32 GB"," "," "," "," ","29.39","Pictures/51aMDJ3SLPL._AC_SL1001_.jpg"
"1801tech","L8star","BM60"," ","32 GB"," "," ","3.6","62","38.55","Pictures/51-cwiCAm4L._AC_SL1000_.jpg"
"A ADDTOP","Dongguan Jili Intelligent Technology Co., Ltd.","B02P"," "," "," "," ","4.6","316","25.99","Pictures/71%2Bf4CrdQzL._AC_SL1500_.jpg"
"Vernee","Vernee"," ","Android 8.0 Oreo","64 GB"," ","21 MP","3.6","52","239.99",""
"YXKA","YXKA","NOT 10","Android","128 GB"," ","16 MP"," "," ","122.03","Pictures/61%2BfdTQBsSL._AC_SL1500_.jpg"
