"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"Blaupunkt","Blaupunkt","BS04 ORANGE","Nicht bekannt","32 GB"," ","2 MP"," "," ","45.70","Pictures/71eUrpxkV4L._AC_SL1500_.jpg"
"GJRPhone"," "," "," "," "," "," "," "," ","137.48","Pictures/61XxDaJ%2B26L._AC_SL1000_.jpg"
"Google","Google","GA00127-DE","Android 8.0","64 GB"," ","12.2 MP","4.2","18","594.11","Pictures/51n4zhwUVIL._AC_SL1000_.jpg"
"Apple","Apple Computer","XS_PARENT","IOS","256 GB"," ","12 Modificador desconocido","4.3","67","967.65","Pictures/61UojnxVbPL._AC_SL1024_.jpg"
"Brondi","Brondi","10274080","Android","32 GB"," ","1.3 MP","3.5","7","32.54","Pictures/81k54Kj2WjL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.251"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Blackview","Blackview"," ","Android 9.0","8 GB"," ","48 MP","4.0","89","529.99",""
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Doro","Doro","7762","Android","0.1 GB","MicroSD"," ","4.2","39","79.90","Pictures/81SP%2BbP5ZIL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","Poco F2 Pro","Android","128 GB"," ","64 MP","4.5","691","459.00","Pictures/51SC-sgTPSL._AC_SL1000_.jpg"
"OUKITEL","OUKITEL"," ","Android 9.0","64 GB"," "," ","4.3","141","119.99","Pictures/71QUHxsjG8L._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"LIZXC","LIZXC"," "," "," "," ","24 MP"," "," ","121.00","Pictures/51Bts66mvKL._AC_SL1200_.jpg"
"SAMSUNG","Samsung","SM-A505FZKSDBT","Android","4 GB"," ","5 MP","4.5","1.694","270.00","Pictures/810zRCgitwL._AC_SL1500_.jpg"
"CAT PHONES","Caterpillar"," ","Android 8.0"," "," "," ","3.7","11","650.00","Pictures/717EqYO5bCL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 7","Android 9.0","16 GB","MicroSD","8 MP","3.7","1.204"," ","Pictures/61M6vLmaGcL._AC_SL1394_.jpg"
"Ulefone","Ulefone","Ulefone Note 7","Android 9.0","16 GB","MicroSD","8 MP","3.7","1.110"," ","Pictures/619wO7Ku-NL._AC_SL1200_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.252"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"BQ","Esprinet","C000345","Android","1 GB"," ","13 MP","3.9","32","97.95","Pictures/71NK3uhyh2L._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.252"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"LG","LG","LGD802.ADEUBK","Android","32 Modificador desconocido"," ","13 MP","4.1","1.390","139.00","Pictures/81EiDt85PjL._AC_SL1500_.jpg"
"ZTE","ZTE"," ","Android","1 GB"," "," ","4.2","191","59.00","Pictures/51o-cjcdvhL._AC_SL1500_.jpg"
"Blackview","Blackview","Blackview A80"," ","16 GB"," ","13 MP","3.9","129","79.99","Pictures/613qZ6k2RHL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.252"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Blackview","Blackview.","SG_B07KM27476_US","Android","128 GB"," "," ","3.4","15","299.99","Pictures/71i2ubid1yL._AC_SL1001_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Blackview","Blackview","BV5500Plus"," ","32 GB","MicroSD","8 MP","4.1","1.359","109.99","Pictures/71syXaI3TqL._AC_SL1000_.jpg"
"Microsoft Mobile","Nokia","002J256","Symbian","110 MB"," ","2 MP","3.5","18","325.00",""
"Wiko","Wiko","WIFLF0102"," "," "," "," ","4.4","6","13.06","Pictures/81aGNiWWSbL._AC_SL1500_.jpg"
"ONEPLUS","OnePlus","LDKSX000517","OxygenOS basado en Android 10","256 GB"," ","48 MP","4.5","2.958","559.85","Pictures/71SmHE8XQdL._AC_SL1500_.jpg"
"LIZXC","LIZXC"," "," ","8 GB"," ","24 MP"," "," ","157.00","Pictures/61cmX7W2xXL._AC_SL1000_.jpg"
"SUQIAOQIAO"," "," "," "," "," "," "," "," ","1.554.80","Pictures/516pZu%2BuHqL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","Redmi Note 9S","Android 10.0","4 GB"," ","48 MP","4.6","39"," ","Pictures/61hLCBHRwxL._AC_SL1500_.jpg"
"Apple","EN52X","A2105","IOS","64 GB"," ","12 MP"," "," ","715.04","Pictures/5185q4UC2CL._AC_SL1200_.jpg"
"Dpofirs","Dpofirs"," "," "," "," "," ","1.0","1","39.09","Pictures/511pPJU0%2BzL._AC_SL1001_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"SAMSUNG","Samsung","SM-G973FZWDPHE","Android","8 GB"," ","16 MP","4.4","3.361","569.00","Pictures/71T72z3btSL._AC_SL1500_.jpg"
"TTfone","TTfone","5060574950106","TTfone"," ","MicroSD"," ","4.0","225","16.49","Pictures/71TnWtsp%2BFL._AC_SL1500_.jpg"
"Tim","TIM","773273","Android 7.0","16 GB","MicroSD","13 MP","4.2","282","127.50","Pictures/714lSNIEDaL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.252"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"LAZA-MLL","LAZA-MLL","Rino5Pro"," ","128 GB"," "," "," "," ","141.06","Pictures/71xJ1kfj2lL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android 8.1 Oreo","128 GB"," "," ","3.4","7","445.99",""
"Xiaomi","Xiaomi"," ","Android","64 GB"," "," ","4.7","82","199.00",""
"SAMSUNG","Samsung","GT-I9195ZKAITV","Android","8 GB"," ","8 MP","4.1","309","179.99","Pictures/61OgF6QEAHL._AC_SL1000_.jpg"
"SAMSUNG","Samsung","SM-G781BZGDEUB","One UI 2.5, Android 10.0","128 GB"," ","12 MP","5.0","2","709.00","Pictures/715k85TCQoL._AC_SL1500_.jpg"
"Oppo","Oppo","MO-oppfix2ne256gbbeu","Android 10.0","12 GB"," ","48 MP","3.9","9","589.00","Pictures/71RjnP4WUmL._AC_SL1211_.jpg"
"Motorola","Motorola","PA6V0090DE","Android 7.1","32 GB"," ","13 MP","4.2","300","136.40","Pictures/61X%2B1rv-7XL._AC_SL1000_.jpg"
"Nokia","Nokia","2220SPK","Proprietario","32 MB"," "," ","3.6","13","157.42","Pictures/61U8GBGFgjL._AC_SL1200_.jpg"
"Evolveo","Evolveo","EP-600-XDB"," ","1 GB","MicroSDHC","1.3 MP","4.3","57"," ","Pictures/61w7y9KY3BL._AC_SL1490_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"Microsoft Mobile","Nokia","002B1J0","Symbian","4 MB"," "," ","4.3","129","250.00","Pictures/8146uc5-9hL._AC_SL1500_.jpg"
"HONOR","Honor"," "," ","64 GB"," "," ","2.4","4","104.00",""
"Sony","Sony","1304-7186","Android 6.0","32 GB"," ","23 MP","3.9","162","129.95","Pictures/71z8SZo4cBL._AC_SL1500_.jpg"
"BlueCosmo","BlueCosmo","9575"," "," "," "," ","4.6","39","1.145.00","Pictures/71bpcuxlmeL._AC_SL1200_.jpg"
"Wiko","WIKO","Riff3PlusWhite","Linux","0.03 GB"," "," ","3.7","63","18.64","Pictures/61PhTwm%2BvJL._AC_SL1500_.jpg"
"Google","Google","6937748732341","Android","16 GB"," ","8 MP","2.8","4","216.23",""
"Xiaomi","Xiaomi","27920"," ","3 GB"," ","48 MP","4.4","85","193.57",""
"Apple","Apple Computer","5056200511049","IOS","32 GB"," "," ","3.8","16","292.19","Pictures/71y0upeHo-L._AC_SL1112_.jpg"
"Apple","Apple Computer","8_PARENT","IOS","64 GB"," "," ","4.4","288","307.00","Pictures/61F1F-Si5aL._AC_SL1500_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"Xiaomi","Xiaomi","6941059645856","Android","64 GB"," "," ","4.7","1.463","179.15","Pictures/51XR8Tr64ZL._AC_SL1000_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Microsoft Mobile","Nokia","002T0M7","Symbian","50 MB"," ","3.2 MP","4.0","159","180.00","Pictures/715weSj%2B97L._AC_SL1500_.jpg"
"Phinistec","Phinistec","BTR-EU-46"," "," "," "," ","4.4","95","7.99","Pictures/51ualQuaojL._AC_SL1010_.jpg"
"Xiaomi","Xiaomi"," ","Android","64 GB"," "," ","4.7","82","199.00",""
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-N970FZKDPHE","Android","8 GB"," ","10 MP","4.3","627","679.00","Pictures/714j-Dv0zLL._AC_SL1500_.jpg"
"ELE","ELEPHONE"," ","Android 8.1 Oreo","64 GB"," ","16 MP","3.2","41","119.99",""
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
" ","XDOUBAO"," "," "," "," "," "," "," ","9.90","Pictures/61-xOT%2BARgL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Armor X5N-9","Android 9","32 GB"," "," ","5.0","3","139.99","Pictures/71D6R0xeyzL._AC_SL1200_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"CUBOT","AHT","NOTE 7","Android 10.0","16 GB"," ","13 MP","3.9","38","69.99","Pictures/71JkGPwxnfL._AC_SL1500_.jpg"
"GJRPhone"," "," "," "," "," "," "," "," ","115.93","Pictures/61xgHOY%2BmmL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Nokia","Nokia"," ","Symbian"," "," "," ","4.8","4"," ",""
"SAMSUNG","Samsung","SM-A505FZBSPHE","Android","4 GB"," ","25 MP","4.3","3.354","349.00","Pictures/51qW82GJeyL._AC_SL1200_.jpg"
"Maxcom","MaxCom","MM720","Android"," "," "," ","3.0","12","41.79",""
"SAMSUNG","Samsung"," ","Android","8 GB"," ","8 MP","4.1","29","119.00",""
"Swisstone","Swisstone","450030","No Operating System","32 GB"," ","1.3 MP","4.0","88"," ","Pictures/8137Jq7UYvL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"Nokia","Nokia","6021","Symbian","3.3 MB"," "," ","3.9","31","199.99",""
"Brondi","Brondi","10274071","Android"," "," ","1.3 MP","4.3","665","78.77","Pictures/81k8m%2BFriFL._AC_SL1500_.jpg"
"Meizu","Meizu","M6N/M721H 4/64GB BLK","Android","64 GB"," ","16.8 MP","3.7","49","170.38",""
"ZTE","ZTE","126573701020","Android","16 GB"," ","5 MP","1.0","1","116.39","Pictures/51-oohLZO0L._AC_SL1346_.jpg"
"Nokia","Nokia"," "," "," "," ","2 MP","4.1","2"," ",""
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"XIB2S","Xiaomi","26131","Android","6 GB"," ","108 MP","4.4","729","526.69","Pictures/81xsUqImP%2BL._AC_SL1500_.jpg"
" ","XDOUBAO"," "," "," "," "," "," "," ","9.90","Pictures/61-xOT%2BARgL._AC_SL1000_.jpg"
"HOMTOM ","HOMTOM"," ","Android","64 GB"," ","13 MP","3.5","19","129.99","Pictures/61Y3gfxzA6L._AC_SL1000_.jpg"
"ZTE","ZTE","126591201000","Android","6 GB"," "," ","4.3","37","379.18","Pictures/81fkyj4akxL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-A307F"," ","4 GB"," ","25 MP","4.5","2","199.00","Pictures/61tpZ9cAxWL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android 10.0","128 GB"," ","16 MP","4.6","190"," ","Pictures/61aVsV8qxeL._AC_SL1500_.jpg"
"G-TELWARE","G-TELWARE\xc2\xae"," ","G-TELWARE\xc2\xae"," ","MicroSD","1.3 MP","4.2","55","147.00","Pictures/613cdcrkP0L._AC_SL1134_.jpg"
"Bixolon","Bixolon","SRP-330IICOESK/BEG"," "," "," "," ","4.4","2"," ",""
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"CAT PHONES","Caterpillar","S31","Android","16 GB"," ","8 MP","3.8","293"," ","Pictures/81LX1yzh5ML._AC_SL1500_.jpg"
"Ulefone","Ulefone","Ulefone Armor 3WT","\xf0\x9f\x94\xa5 Android 9.0","64 GB","MicroSD","21 MP"," "," "," ","Pictures/61HbUrB4fdL._AC_SL1000_.jpg"
"ONEPLUS","OnePlus","5011101407","Android","128 GB"," ","48 MP","5.0","1","599.00","Pictures/71Tob9uP2XL._AC_SL1500_.jpg"
" ","TOHO"," "," "," "," "," "," "," ","21.99","Pictures/612aDt%2BdWKL._AC_SL1076_.jpg"
"SAMSUNG","Samsung","GT-C3050MKADBT","Symbian","21 MB"," ","0.3 MP","4.1","226","175.00","Pictures/61UpWDA7-LL._AC_SL1200_.jpg"
"JJA BROS","JJA BROS"," "," ","32 GB"," ","5 MP","3.5","14","115.50","Pictures/51HrxDJllGL._AC_SL1000_.jpg"
"SAMSUNG","Samsung"," ","Android","6 GB"," ","48 MP","4.4","14","440.00",""
"DOOGEE","DOOGEE"," ","Android","32 GB"," ","16 MP","3.4","263","159.99",""
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Oumij","Oumij"," "," ","32 GB"," "," ","1.0","1","50.39","Pictures/61Zi7z6TLQL._AC_SL1001_.jpg"
"Xiaomi","Xiaomi"," "," ","32 GB"," ","48 MP","4.4","134","181.00","Pictures/51zEzMWs2ML._AC_SL1000_.jpg"
"Hopcd","Hopcd"," "," "," "," "," ","5.0","1","44.89","Pictures/511pPJU0%2BzL._AC_SL1001_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","573"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"Xiaomi","Xiaomi"," ","Android 10.0","6 GB"," ","48 MP","4.6","366","199.00","Pictures/61JHNnClAVL._AC_SL1000_.jpg"
"CUBOT","AHT"," ","Android 9.0","32 GB"," "," ","5.0","2","99.99","Pictures/6161MTqys3L._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-N986BZNGEUE"," ","12 GB"," ","108 MP","4.5","30","1.193.07","Pictures/71RD0mYwYoL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","GT-I9105CWNDBT","Android","8 GB"," ","8 MP","3.8","904","199.90","Pictures/81jpE-EP2dL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","Redmi Note 9","Android","4 GB"," "," ","4.5","289","199.00","Pictures/612RvGLSbTL._AC_SL1000_.jpg"
"SAMSUNG","Samsung","E1190 T-Mobile"," "," "," "," ","3.4","30","119.99","Pictures/91msvjWQmnL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","GT-E1270LKABTU","SNMP","0.03 GB"," "," ","4.2","198","175.64","Pictures/71ja5pJ-vpL._AC_SL1500_.jpg"
"Tosuny","Tosuny"," ","Android","256 GB"," ","13 MP"," "," ","92.79","Pictures/61wuyHgfT4L._AC_SL1001_.jpg"
"Xiaomi","Xiaomi","M2004J11G","Android","8 GB"," ","64 MP","4.5","691","499.00","Pictures/619%2B0MVdjIL._AC_SL1080_.jpg"
"EMPORIA TELECOM","Emporia Telecom","V66_001","Propriet\xc3\xa4r","8 GB"," ","2 MP","3.6","41","93.76","Pictures/81RknLvZl4L._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Motorola","Motorola","MOTO Phone XT1805 ES 4+32G GL DS","Android","32 GB"," ","13 MP","4.0","21","286.79","Pictures/71kcbepohZL._AC_SL1350_.jpg"
"Dakota","MobiWire"," "," "," "," ","5 MP","5.0","2","38.31","Pictures/61ptb8MIV-L._AC_SL1294_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"HONOR","Honor Spain","51092XXP","Android 8.1","128 GB"," ","20 MP","4.5","1.259","327.11","Pictures/61tgYlxs9UL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","6941059645856","Android","64 GB"," "," ","4.7","1.463","179.15","Pictures/51XR8Tr64ZL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8 P","Android 10","16 GB","MicroSD","8 MP","3.8","429"," ","Pictures/51QKNeJmBmL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.253"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Siemens Bus. Serv., M?nch","Siemens Bus. Serv., M?nch","L36880-N4600-A108"," "," "," "," ","3.4","22"," ",""
"LG","LG","LGD802.ADEUBK","Android","32 Modificador desconocido"," ","13 MP","4.1","1.390","139.00","Pictures/81EiDt85PjL._AC_SL1500_.jpg"
"ZTE","ZTE","BLADEA910GOLD","Android","16 GB"," ","13 MP","4.3","23","180.00",""
"Microsoft","Microsoft","Microsoft 640 LTE","Windows","8 Modificador desconocido"," ","8 MP","4.2","2.857","79.00","Pictures/81GMN2P8KsL._AC_SL1500_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"Ccylez","Ccylez"," ","Android","128 GB"," ","13 MP"," "," ","108.99","Pictures/51VL5hBMY3L._AC_SL1001_.jpg"
"Sony","Sony","1313-9166","Android","0.1 GB"," ","0.1 MP","4.2","70","579.71","Pictures/814gj8HB5ML._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.254"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"DUODUOGO","DUODUOGO"," ","Android","16 GB"," "," ","3.5","372","74.99","Pictures/71lyGv%2Bz9SL._AC_SL1500_.jpg"
"CUBOT","CUBOT","Quest","Android","32 GB"," "," ","3.9","84","109.99","Pictures/71zqIC3MwTL._AC_SL1500_.jpg"
"SAMSUNG","Samsung electronics iberia s.a","B07NWSWMTW","Android","128 GB"," "," ","5.0","2","742.63","Pictures/51E9bd5%2Bw6L._AC_SL1201_.jpg"
"Blackview","Blackview","6931548306108","Android","64 GB"," "," ","4.1","348","119.99","Pictures/6177wILhyqL._AC_SL1000_.jpg"
"Meizu","Meizu","M712H-3/32BL","Android","32 GB"," ","16.8 MP","4.3","10","199.00","Pictures/61nZwlwiL-L._AC_SL1000_.jpg"
"HONOR","Honor","51093VCB","Android","256 GB"," ","12 MP","4.5","135","329.00","Pictures/71ap2kwNEgL._AC_SL1500_.jpg"
"Fysic","Fysic","10800003","Sonstiges"," "," "," ","1.7","5","57.55","Pictures/817YnD2gdaL._AC_SL1500_.jpg"
"Alcatel","Alcatel","5028D-2AALWE12","Android","3 GB"," ","2 MP","4.3","37","124.99","Pictures/71qGeWAHUZL._AC_SL1500_.jpg"
"Sagemcom","Sagemcom","RL303"," "," "," "," ","3.7","3","21.00",""
"HONOR","Honor","775969","Android","2 GB"," ","13 MP","4.5","129","99.90",""
"Oppo","Oppo"," ","Android","12 GB"," ","48 MP","4.1","7","999.00","Pictures/91mFvSFMWIL._AC_SL1500_.jpg"
"Artfone","Artfone"," "," ","32 GB"," "," ","4.7","99"," ","Pictures/71ZjGQnVX2L._AC_SL1500_.jpg"
"USHINING","Ushining"," "," ","16 GB"," "," ","4.0","143","99.99","Pictures/61uyL%2BXQpFL._AC_SL1000_.jpg"
"Doro","Doro","774243","Not_machine_specific"," ","MicroSD","0.3 MP","4.0","10","49.99","Pictures/81oec3dB8KL._AC_SL1500_.jpg"
"QWEIAS","QWEIAS"," ","Android","8 GB"," "," "," "," ","100.99","Pictures/61ux2WxIdIL._AC_SL1001_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","162"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE"," ","Android 10","16 GB"," ","13 MP","3.9","129","79.99",""
"Blackview","Blackview","Blackview A80"," ","16 GB"," ","13 MP","3.9","129","79.99","Pictures/61pHdk6z4zL._AC_SL1000_.jpg"
"HUAWEI","HUAWEI","51095DDQ-AM","Android","4 GB"," ","48 MP","3.6","1.836","129.99","Pictures/61pyrjOOiPL._AC_SL1200_.jpg"
"ZTE","ZTE","10 Smart","Android","4 GB"," "," "," "," ","179.00","Pictures/71DgKi2lqqL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE"," ","Android\xe2\x84\xa2 9 Pie","16 GB","MicroSD"," ","3.5","57","79.99","Pictures/61oKk4yuB9L._AC_SL1500_.jpg"
"Blackview","Blackview","Blackview A80 Pro","\xf0\x9f\x91\x8dAndroid 9.0 (Pie)","64 GB","MicroSD","13 MP","4.3","2.199","119.99","Pictures/61Nzlim9RJL._AC_SL1000_.jpg"
"QWEIAS","QWEIAS"," ","Android","4 GB"," ","16 MP"," "," ","69.99","Pictures/61rOFYNEqXL._AC_SL1000_.jpg"
"JLFDHR","JLFDHR"," ","IOS"," "," "," "," "," ","18.85","Pictures/51%2BzKE0kE%2BL._AC_SL1000_.jpg"
"SKC"," "," "," "," "," "," "," "," ","112.69","Pictures/51JA5bGg%2BsL._AC_SL1024_.jpg"
"CAT PHONES","Caterpillar"," ","Android 8.0"," "," "," ","3.7","11","801.89","Pictures/717EqYO5bCL._AC_SL1500_.jpg"
"Acemi","Shenzhenshiyihongfushiyouxiangongsi","V1","Linux"," "," "," ","4.3","13","34.99","Pictures/61xybmQz2%2BL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE N20 Pro"," ","16 GB"," ","16 MP"," "," ","179.99","Pictures/61kbIv3pGxL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi","6941059652076"," ","128 GB"," "," ","4.9","28","199.00","Pictures/61s%2BU7ZP6hL._AC_SL1000_.jpg"
"OUKITEL","Emtugee","OUKITEL K7 pro","Android 9.0","128 GB","MMCmicro","48 MP","3.9","11","259.99","Pictures/719RML-klaL._AC_SL1500_.jpg"
"ONEPLUS","OnePlus"," ","Android","256 GB"," ","48 MP"," "," ","704.83","Pictures/71Tob9uP2XL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.254"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Lenevo","Lenevo","Note20u+"," ","512 GB"," "," "," "," ","152.00","Pictures/812nJmwRsHL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.254"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," "," ","64 GB"," ","48 MP","4.3","213","143.00","Pictures/61yaIte1PBL._AC_SL1000_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","440"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"NOKAG","Nokia","B07WK47981","Linux","0.5 GB"," ","2 MP","3.8","234","99.99","Pictures/61Ma8aUsCvL._AC_SL1500_.jpg"
"Sony","Sony","P037PF3G1","Android","64 GB","MicroSD","19 MP","4.3","159","599.00","Pictures/61R-QOKSHaL._AC_SL1200_.jpg"
"SAMSUNG","Samsung","GT-I9105CWNDBT","Android","8 GB"," ","8 MP","3.8","903","199.90","Pictures/81jpE-EP2dL._AC_SL1500_.jpg"
"HAFURY","Hafury"," ","Android","16 GB"," "," ","3.5","436"," ","Pictures/715CvfRqHfL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","M1810F6LGN-16","Android","16 GB"," ","12 MP","4.6","435","147.91",""
"OUKITEL","Emtugee"," "," ","256 GB"," "," ","4.4","82","79.99","Pictures/71q71il2e5L._AC_SL1500_.jpg"
"LG","LG","LGH930.ADECBL","Android","64 GB"," ","13 MP","4.2","123","287.58","Pictures/71mL03Sbj%2BL._AC_SL1500_.jpg"
"Oumij","Oumij"," ","Android","16 GB"," ","13 MP"," "," "," ","Pictures/517DtxGAMKL._AC_SL1001_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.236"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
